Label,row_count
1.05345,2390
0.66798,2371
0.66319,2364
1.05584,2355
0.66559,2354
0.67277,2345
0.67038,2343
1.06542,2299
0.66080,2285
1.05824,2278
1.06063,2238
0.65841,2205
0.65601,2189
1.06303,2184
0.65362,2171
1.06781,2141
0.65122,2139
1.07260,2123
0.64883,2112
0.64643,2093
1.07021,2071
1.07500,2060
0.64404,2038
0.63925,2033
0.64165,1971
0.63207,1945
1.07739,1914
0.63686,1896
1.08218,1872
0.62728,1870
1.07978,1858
0.63446,1851
0.62968,1826
1.08936,1817
1.09176,1817
1.08697,1816
0.62489,1805
1.08457,1779
1.09415,1761
0.62010,1724
0.62249,1721
0.61770,1713
0.61531,1675
0.60573,1665
1.09654,1652
1.10373,1650
0.61292,1640
1.09894,1635
0.61052,1634
0.60813,1626
0.60094,1613
1.10133,1590
1.11091,1587
1.10612,1574
1.10852,1561
0.60334,1548
0.59855,1526
0.59616,1503
0.59376,1498
1.11570,1487
0.59137,1481
1.11330,1474
1.12288,1439
0.58897,1435
0.58658,1421
1.12767,1410
1.11809,1399
0.58419,1392
0.58179,1385
1.13006,1378
1.13725,1372
1.12527,1355
1.12049,1346
1.13485,1335
1.14443,1328
0.57700,1318
0.57940,1312
0.56982,1299
1.13246,1291
0.57461,1277
1.14203,1276
1.14922,1271
1.14682,1264
1.15161,1253
1.13964,1246
0.57221,1233
0.56503,1220
1.16358,1215
0.56264,1210
1.16837,1187
1.15401,1186
0.56743,1186
1.15879,1160
1.15640,1158
0.55785,1157
1.16119,1136
1.17076,1132
1.16598,1132
0.55067,1131
0.56024,1126
1.17316,1122
1.18513,1114
0.55545,1097
0.54588,1094
1.18752,1088
1.17555,1076
1.18034,1073
1.18992,1057
0.54348,1051
1.18274,1048
1.17795,1045
0.53870,1041
0.55306,1039
0.54827,1015
1.19710,1003
1.19231,986
0.54109,984
0.53391,984
1.19950,979
0.53151,967
0.53630,963
1.19471,960
1.20189,958
0.52672,932
1.20907,922
1.21147,921
0.52433,908
0.52194,901
1.20428,901
0.52912,896
1.21386,895
1.20668,893
0.51715,868
0.51475,850
0.51954,846
0.51236,844
1.21865,842
1.21625,839
1.22104,834
1.22344,824
1.23062,811
1.22823,806
0.50996,791
1.23541,782
0.50757,780
1.22583,771
0.50278,752
1.23780,741
1.23301,739
1.24020,728
1.24498,709
0.50039,708
0.49321,704
0.50518,703
0.49799,702
1.24977,700
1.24738,689
1.24259,689
0.49560,679
0.49081,675
1.25217,665
1.26174,646
1.25696,636
0.48363,635
1.25456,628
1.25935,621
0.47645,611
1.26893,602
1.26414,598
0.48842,597
0.47884,583
0.48602,582
1.27611,571
1.27372,567
0.48123,565
1.27132,563
1.26653,561
0.47405,558
1.27850,552
0.47166,534
1.28569,533
1.28090,527
1.28808,526
0.46448,514
1.29287,505
1.28329,499
0.46926,492
0.46687,488
1.29047,488
0.46208,485
1.30005,484
0.45969,479
1.29526,465
1.30484,458
1.30245,457
1.29766,457
0.45490,452
1.30963,443
1.30723,432
0.45729,423
1.31681,421
1.31202,419
1.32160,417
0.44772,415
0.45250,413
1.32639,411
1.31442,409
0.45011,395
0.44053,384
1.32878,384
1.32399,383
0.44532,370
1.33357,368
1.31921,368
1.34075,357
1.33836,354
1.33596,348
1.35033,343
0.43814,341
0.44293,340
1.33118,340
1.35751,325
1.35512,324
0.43574,322
0.43335,319
1.34554,317
0.42617,314
1.34794,313
1.34315,311
1.36230,309
1.35272,305
0.43096,304
0.42856,292
0.41899,291
1.36469,290
0.42138,283
1.35991,278
0.41180,273
0.42377,267
0.40701,261
1.37188,257
1.36948,256
0.41659,254
0.40941,253
0.41420,251
0.39983,249
0.40462,242
1.37427,241
1.36709,239
1.37667,238
1.37906,237
1.38385,218
1.39343,217
1.38145,216
0.39265,214
0.39504,213
1.38864,211
0.38307,210
1.39103,203
0.39025,202
1.39821,199
1.39582,197
0.40223,196
1.38624,196
0.38068,189
0.39744,186
1.40061,181
0.38786,180
0.37589,179
1.40300,177
0.37110,177
0.37828,175
0.38547,169
0.36871,159
0.37350,154
1.41737,153
1.41018,153
0.36392,150
1.41976,149
1.40779,146
1.41258,144
1.40540,143
1.41497,143
1.42216,141
0.35913,138
1.42455,138
0.35674,137
0.36631,136
0.36152,136
1.43413,134
1.42934,132
0.35434,130
1.43652,128
0.34955,127
1.43173,126
0.34477,125
0.34716,122
1.42694,122
1.44131,120
0.33758,119
0.34237,116
1.44370,113
1.44849,109
0.35195,108
0.33519,108
0.33998,107
0.32561,104
1.44610,103
1.43892,102
0.33279,99
0.32082,98
1.45328,98
1.47243,97
0.31843,97
0.33040,92
